0    ,158023,L. Messi                      ,31,Argentina                     ,94,94,FC Barcelona                            ,110.5M  ,565K ,Left ,10,5'7 ,159lbs
53   ,168651,I. Rakiti                     ,30,Croatia                       ,87,87,FC Barcelona                            ,46.5M   ,260K ,Right,4 ,6'0 ,172lbs
54   ,152729,Piqu                          ,31,Spain                         ,87,87,FC Barcelona                            ,34M     ,240K ,Right,3 ,6'4 ,187lbs
55   ,222492,L. San                        ,22,Germany                       ,86,92,Manchester City                         ,61M     ,195K ,Left ,19,6'0 ,165lbs
56   ,218667,Bernardo Silva                ,23,Portugal                      ,86,91,Manchester City                         ,59.5M   ,180K ,Left ,11,5'8 ,141lbs
57   ,210257,Ederson                       ,24,Brazil                        ,86,90,Manchester City                         ,41.5M   ,125K ,Left ,31,6'2 ,190lbs
58   ,208722,S. Man                        ,26,Senegal                       ,86,87,Liverpool                               ,52M     ,195K ,Right,10,5'9 ,152lbs
59   ,203376,V. van Dijk                   ,26,Netherlands                   ,86,88,Liverpool                               ,44.5M   ,165K ,Right,4 ,6'4 ,203lbs
60   ,202652,R. Sterling                   ,23,England                       ,86,89,Manchester City                         ,56.5M   ,195K ,Right,10,5'7 ,152lbs
61   ,201942,Roberto Firmino               ,26,Brazil                        ,86,87,Liverpool                               ,53M     ,195K ,Right,9 ,5'11,168lbs
62   ,201535,R. Varane                     ,25,France                        ,86,91,Real Madrid                             ,50M     ,210K ,Right,4 ,6'3 ,179lbs
63   ,199556,M. Verratti                   ,25,Italy                         ,86,89,Paris Saint-Germain                     ,55M     ,135K ,Right,6 ,5'5 ,132lbs
64   ,191043,Alex Sandro                   ,27,Brazil                        ,86,86,Juventus                                ,36.5M   ,160K ,Left ,12,5'11,176lbs
65   ,190483,Douglas Costa                 ,27,Brazil                        ,86,86,Juventus                                ,46.5M   ,175K ,Left ,11,5'8 ,154lbs
66   ,189596,T. Mller                      ,28,Germany                       ,86,86,FC Bayern Mnchen                        ,45M     ,135K ,Right,13,6'1 ,165lbs
67   ,189509,Thiago                        ,27,Spain                         ,86,86,FC Bayern Mnchen                        ,45.5M   ,130K ,Right,19,5'9 ,154lbs
68   ,188350,M. Reus                       ,29,Germany                       ,86,86,Borussia Dortmund                       ,43.5M   ,100K ,Right,11,5'11,157lbs
69   ,184432,Azpilicueta                   ,28,Spain                         ,86,86,Chelsea                                 ,35M     ,175K ,Right,14,5'10,168lbs
70   ,184344,L. Bonucci                    ,31,Italy                         ,86,86,Juventus                                ,30M     ,160K ,Right,19,6'3 ,187lbs
71   ,184087,T. Alderweireld               ,29,Belgium                       ,86,87,Tottenham Hotspur                       ,39M     ,150K ,Right,2 ,6'1 ,179lbs
72   ,180206,M. Pjani                      ,28,Bosnia Herzegovina            ,86,86,Juventus                                ,44M     ,180K ,Right,5 ,5'10,159lbs
73   ,177509,M. Benatia                    ,31,Morocco                       ,86,86,Juventus                                ,30M     ,160K ,Right,4 ,6'2 ,207lbs
74   ,176635,M. zil                        ,29,Germany                       ,86,86,Arsenal                                 ,43.5M   ,190K ,Left ,10,5'11,168lbs
75   ,135507,Fernandinho                   ,33,Brazil                        ,86,86,Manchester City                         ,18M     ,185K ,Right,25,5'10,148lbs
76   ,41    ,Iniesta                       ,34,Spain                         ,86,86,Vissel Kobe                             ,21.5M   ,21K  ,Right,8 ,5'7 ,150lbs
77   ,232363,M. kriniar                    ,23,Slovakia                      ,85,92,Inter                                   ,46.5M   ,82K  ,Right,37,6'2 ,176lbs
78   ,223848,S. Milinkovi-Savi             ,23,Serbia                        ,85,90,Lazio                                   ,50.5M   ,73K  ,Right,21,6'3 ,168lbs
79   ,220834,Marco Asensio                 ,22,Spain                         ,85,92,Real Madrid                             ,54M     ,215K ,Left ,10,6'0 ,168lbs
80   ,216594,N. Fekir                      ,24,France                        ,85,89,Olympique Lyonnais                      ,50M     ,92K  ,Left ,18,5'8 ,165lbs
81   ,212831,Alisson                       ,25,Brazil                        ,85,90,Liverpool                               ,36.5M   ,115K ,Right,13,6'3 ,201lbs
82   ,212622,J. Kimmich                    ,23,Germany                       ,85,88,FC Bayern Mnchen                        ,40.5M   ,92K  ,Right,18,5'9 ,154lbs
83   ,208421,Sal                           ,23,Spain                         ,85,90,Atltico Madrid                          ,50.5M   ,77K  ,Left ,6 ,6'0 ,170lbs
84   ,204485,R. Mahrez                     ,27,Algeria                       ,85,85,Manchester City                         ,40.5M   ,205K ,Left ,26,5'10,148lbs
85   ,197445,D. Alaba                      ,26,Austria                       ,85,87,FC Bayern Mnchen                        ,38M     ,110K ,Left ,8 ,5'11,168lbs
86   ,193747,Koke                          ,26,Spain                         ,85,86,Atltico Madrid                          ,45M     ,88K  ,Right,8 ,5'9 ,163lbs
87   ,193301,A. Lacazette                  ,27,France                        ,85,86,Arsenal                                 ,45M     ,180K ,Right,9 ,5'9 ,161lbs
88   ,192774,K. Manolas                    ,27,Greece                        ,85,87,Roma                                    ,37.5M   ,96K  ,Right,4 ,6'2 ,183lbs
89   ,192366,N. Otamendi                   ,30,Argentina                     ,85,85,Manchester City                         ,28.5M   ,170K ,Right,30,6'0 ,179lbs
90   ,189513,Parejo                        ,29,Spain                         ,85,85,Valencia CF                             ,37M     ,66K  ,Right,10,6'0 ,163lbs
91   ,187961,Paulinho                      ,29,Brazil                        ,85,85,Guangzhou Evergrande Taobao FC          ,37M     ,235K ,Right,9 ,6'0 ,157lbs
92   ,186153,W. Szczsny                    ,28,Poland                        ,85,87,Juventus                                ,32M     ,125K ,Right,1 ,6'5 ,198lbs
93   ,184941,A. Snchez                     ,29,Chile                         ,85,85,Manchester United                       ,37.5M   ,215K ,Right,7 ,5'7 ,163lbs
94   ,184267,Y. Brahimi                    ,28,Algeria                       ,85,85,FC Porto                                ,39M     ,28K  ,Right,8 ,5'9 ,146lbs
95   ,183907,J. Boateng                    ,29,Germany                       ,85,85,FC Bayern Mnchen                        ,30M     ,115K ,Right,17,6'4 ,198lbs
96   ,181872,A. Vidal                      ,31,Chile                         ,85,85,FC Barcelona                            ,26M     ,205K ,Right,8 ,5'11,165lbs
97   ,181458,I. Perii                      ,29,Croatia                       ,85,85,Inter                                   ,37.5M   ,110K ,Right,44,6'1 ,176lbs
98   ,180930,E. Deko                       ,32,Bosnia Herzegovina            ,85,85,Roma                                    ,30.5M   ,115K ,Right,9 ,6'4 ,185lbs
99   ,179846,S. Khedira                    ,31,Germany                       ,85,85,Juventus                                ,33M     ,160K ,Right,6 ,6'2 ,198lbs
100  ,179844,Diego Costa                   ,29,Spain                         ,85,85,Atltico Madrid                          ,38.5M   ,100K ,Right,19,6'2 ,190lbs
101  ,178518,R. Nainggolan                 ,30,Belgium                       ,85,85,Inter                                   ,35.5M   ,105K ,Right,14,5'9 ,170lbs
102  ,171919,Naldo                         ,35,Brazil                        ,85,85,FC Schalke 04                           ,9M      ,38K  ,Right,29,6'6 ,201lbs
103  ,170890,B. Matuidi                    ,31,France                        ,85,85,Juventus                                ,26M     ,145K ,Left ,14,5'11,165lbs
104  ,168609,Miranda                       ,33,Brazil                        ,85,85,Inter                                   ,15.5M   ,96K  ,Right,23,6'1 ,172lbs
105  ,165153,K. Benzema                    ,30,France                        ,85,85,Real Madrid                             ,37M     ,240K ,Right,9 ,6'1 ,179lbs
106  ,164169,Filipe Lus                    ,32,Brazil                        ,85,85,Atltico Madrid                          ,21.5M   ,81K  ,Left ,3 ,6'0 ,163lbs
107  ,139720,V. Kompany                    ,32,Belgium                       ,85,85,Manchester City                         ,22M     ,170K ,Right,4 ,6'3 ,187lbs
108  ,120533,Pepe                          ,35,Portugal                      ,85,85,Beikta JK                               ,9M      ,57K  ,Right,3 ,6'2 ,179lbs
109  ,41236 ,Z. Ibrahimovi                 ,36,Sweden                        ,85,85,LA Galaxy                               ,14M     ,15K  ,Right,9 ,6'5 ,209lbs
110  ,220793,D. Snchez                     ,22,Colombia                      ,84,88,Tottenham Hotspur                       ,34M     ,105K ,Right,23,6'2 ,174lbs
111  ,216460,J. Gimnez                     ,23,Uruguay                       ,84,88,Atltico Madrid                          ,34M     ,63K  ,Right,24,6'1 ,176lbs
112  ,212462,Alex Telles                   ,25,Brazil                        ,84,87,FC Porto                                ,32M     ,22K  ,Left ,13,5'11,157lbs
113  ,212218,A. Laporte                    ,24,France                        ,84,88,Manchester City                         ,34M     ,135K ,Left ,14,6'2 ,187lbs
114  ,212198,Bruno Fernandes               ,23,Portugal                      ,84,88,Sporting CP                             ,40.5M   ,22K  ,Right,8 ,5'10,152lbs
115  ,212190,N. Sle                        ,22,Germany                       ,84,90,FC Bayern Mnchen                        ,36.5M   ,84K  ,Right,15,6'5 ,214lbs
116  ,211300,A. Martial                    ,22,France                        ,84,90,Manchester United                       ,42.5M   ,165K ,Right,11,6'0 ,168lbs
117  ,211117,D. Alli                       ,22,England                       ,84,90,Tottenham Hotspur                       ,42.5M   ,115K ,Right,20,6'2 ,176lbs
118  ,209499,Fabinho                       ,24,Brazil                        ,84,88,Liverpool                               ,34M     ,120K ,Right,3 ,6'2 ,172lbs
119  ,207865,Marquinhos                    ,24,Brazil                        ,84,89,Paris Saint-Germain                     ,35.5M   ,90K  ,Right,5 ,6'0 ,165lbs
120  ,207566,William Carvalho              ,26,Portugal                      ,84,86,Real Betis                              ,31.5M   ,38K  ,Right,14,6'2 ,183lbs
121  ,205498,Jorginho                      ,26,Italy                         ,84,87,Chelsea                                 ,38M     ,155K ,Right,8 ,5'11,148lbs
122  ,204970,F. Thauvin                    ,25,France                        ,84,87,Olympique de Marseille                  ,39M     ,72K  ,Left ,20,5'10,154lbs
123  ,204963,Carvajal                      ,26,Spain                         ,84,87,Real Madrid                             ,31.5M   ,185K ,Right,2 ,5'8 ,161lbs
124  ,202556,M. Depay                      ,24,Netherlands                   ,84,89,Olympique Lyonnais                      ,42M     ,93K  ,Right,10,5'9 ,172lbs
125  ,200104,H. Son                        ,25,Korea Republic                ,84,85,Tottenham Hotspur                       ,37M     ,125K ,Right,7 ,6'0 ,143lbs
126  ,199482,A. Lopes                      ,27,Portugal                      ,84,86,Olympique Lyonnais                      ,25M     ,72K  ,Left ,1 ,6'0 ,179lbs
127  ,198176,S. de Vrij                    ,26,Netherlands                   ,84,86,Inter                                   ,31.5M   ,88K  ,Right,14,6'2 ,172lbs
128  ,198009,M. Perin                      ,25,Italy                         ,84,89,Juventus                                ,29.5M   ,105K ,Right,22,6'2 ,170lbs
129  ,193082,J. Cuadrado                   ,30,Colombia                      ,84,84,Juventus                                ,29.5M   ,150K ,Right,11,5'10,159lbs
130  ,192629,Iago Aspas                    ,30,Spain                         ,84,84,RC Celta                                ,30M     ,45K  ,Left ,17,5'9 ,148lbs
131  ,192563,B. Leno                       ,26,Germany                       ,84,87,Arsenal                                 ,27M     ,115K ,Right,12,6'3 ,183lbs
132  ,191202,N. Mati                       ,29,Serbia                        ,84,84,Manchester United                       ,24M     ,165K ,Left ,31,6'4 ,187lbs
133  ,190941,L. Hrdeck                     ,28,Finland                       ,84,84,Bayer 04 Leverkusen                     ,22M     ,74K  ,Right,1 ,6'4 ,187lbs
134  ,190584,Illarramendi                  ,28,Spain                         ,84,84,Real Sociedad                           ,31M     ,51K  ,Right,4 ,5'10,165lbs
135  ,188377,K. Walker                     ,28,England                       ,84,84,Manchester City                         ,24.5M   ,165K ,Right,2 ,6'0 ,154lbs
136  ,186942,I. Gndoan                     ,27,Germany                       ,84,84,Manchester City                         ,32M     ,175K ,Right,21,5'11,176lbs
137  ,185020,Jos Callejn                   ,31,Spain                         ,84,84,Napoli                                  ,27.5M   ,105K ,Right,7 ,5'10,161lbs
138  ,183898,A. Di Mara                    ,30,Argentina                     ,84,84,Paris Saint-Germain                     ,29.5M   ,125K ,Left ,11,5'11,152lbs
139  ,181783,M. Manduki                    ,32,Croatia                       ,84,84,Juventus                                ,25M     ,160K ,Right,17,6'3 ,187lbs
140  ,180403,Willian                       ,29,Brazil                        ,84,84,Chelsea                                 ,30.5M   ,175K ,Right,22,5'9 ,172lbs
141  ,178750,Sergio Asenjo                 ,29,Spain                         ,84,85,Villarreal CF                           ,24M     ,42K  ,Right,1 ,6'2 ,192lbs
142  ,178562,E. Banega                     ,30,Argentina                     ,84,84,Sevilla FC                              ,29M     ,31K  ,Right,10,5'9 ,157lbs
143  ,177413,A. Witsel                     ,29,Belgium                       ,84,84,Borussia Dortmund                       ,24M     ,77K  ,Right,6 ,6'2 ,179lbs
144  ,177388,D. Payet                      ,31,France                        ,84,84,Olympique de Marseille                  ,27.5M   ,75K  ,Right,18,5'9 ,170lbs
145  ,176769,Jonas                         ,34,Brazil                        ,84,84,SL Benfica                              ,16.5M   ,25K  ,Right,10,5'11,163lbs
146  ,172879,Sokratis                      ,30,Greece                        ,84,84,Arsenal                                 ,23M     ,140K ,Right,19,6'1 ,187lbs
147  ,167628,S. Ruffier                    ,31,France                        ,84,84,AS Saint-tienne                         ,19M     ,41K  ,Right,16,6'2 ,205lbs
148  ,167397,Falcao                        ,32,Colombia                      ,84,84,AS Monaco                               ,25M     ,115K ,Right,9 ,5'10,159lbs
149  ,163587,K. Schmeichel                 ,31,Denmark                       ,84,84,Leicester City                          ,19M     ,78K  ,Right,1 ,6'2 ,196lbs
150  ,157481,Ral Albiol                    ,32,Spain                         ,84,84,Napoli                                  ,18M     ,88K  ,Right,33,6'3 ,181lbs
151  ,143076,A. Gmez                       ,30,Argentina                     ,84,84,Atalanta                                ,30M     ,53K  ,Right,10,5'5 ,150lbs
152  ,137186,A. Barzagli                   ,37,Italy                         ,84,84,Juventus                                ,4.2M    ,95K  ,Right,15,6'2 ,192lbs
153  ,20775 ,Quaresma                      ,34,Portugal                      ,84,84,Beikta JK                               ,15.5M   ,80K  ,Right,7 ,5'9 ,148lbs
154  ,9014  ,A. Robben                     ,34,Netherlands                   ,84,84,FC Bayern Mnchen                        ,15.5M   ,110K ,Left ,10,5'11,176lbs
155  ,231443,O. Dembl                      ,21,France                        ,83,92,FC Barcelona                            ,40M     ,155K ,Left ,11,5'10,148lbs
156  ,230666,Gabriel Jesus                 ,21,Brazil                        ,83,92,Manchester City                         ,41M     ,130K ,Right,33,5'9 ,161lbs
157  ,230481,Ronaldo Cabrais               ,26,Brazil                        ,83,83,Grmio                                   ,28M     ,51K  ,Right,7 ,5'10,165lbs
158  ,230375,Josu Chiamulera               ,26,Brazil                        ,83,83,Grmio                                   ,22.5M   ,43K  ,Right,4 ,6'1 ,176lbs
159  ,230294,Louri Beretta                 ,26,Brazil                        ,83,83,Atltico Mineiro                         ,28.5M   ,60K  ,Right,9 ,6'2 ,183lbs
160  ,225850,P. Kimpembe                   ,22,France                        ,83,89,Paris Saint-Germain                     ,30.5M   ,82K  ,Left ,3 ,6'2 ,176lbs
161  ,220971,N. Keta                       ,23,Guinea                        ,83,88,Liverpool                               ,34M     ,120K ,Right,8 ,5'8 ,141lbs
162  ,219683,C. Tolisso                    ,23,France                        ,83,88,FC Bayern Mnchen                        ,34M     ,85K  ,Right,24,5'11,179lbs
163  ,213565,T. Lemar                      ,22,France                        ,83,89,Atltico Madrid                          ,35.5M   ,64K  ,Left ,8 ,5'7 ,137lbs
164  ,213345,K. Coman                      ,22,France                        ,83,87,FC Bayern Mnchen                        ,34M     ,85K  ,Right,29,5'10,157lbs
165  ,213331,J. Tah                        ,22,Germany                       ,83,88,Bayer 04 Leverkusen                     ,29.5M   ,67K  ,Right,20,6'5 ,214lbs
166  ,212523,Anderson Talisca              ,24,Brazil                        ,83,90,Guangzhou Evergrande Taobao FC          ,36.5M   ,18K  ,Left ,24,6'3 ,176lbs
167  ,212188,T. Werner                     ,22,Germany                       ,83,87,RB Leipzig                              ,34.5M   ,70K  ,Right,9 ,5'11,165lbs
168  ,210008,A. Rabiot                     ,23,France                        ,83,87,Paris Saint-Germain                     ,33M     ,91K  ,Left ,25,6'4 ,176lbs
169  ,209658,L. Goretzka                   ,23,Germany                       ,83,88,FC Bayern Mnchen                        ,34M     ,85K  ,Right,14,6'2 ,174lbs
170  ,208808,Q. Promes                     ,26,Netherlands                   ,83,84,Sevilla FC                              ,30.5M   ,28K  ,Right,9 ,5'9 ,159lbs
171  ,208670,H. Ziyech                     ,25,Morocco                       ,83,86,Ajax                                    ,32.5M   ,28K  ,Left ,22,5'11,143lbs
172  ,208618,Lucas Vzquez                  ,27,Spain                         ,83,83,Real Madrid                             ,27M     ,205K ,Right,17,5'8 ,154lbs
173  ,208418,Y. Carrasco                   ,24,Belgium                       ,83,86,Dalian YiFang FC                        ,33M     ,20K  ,Right,10,5'11,161lbs
174  ,208093,Gerard Moreno                 ,26,Spain                         ,83,85,Villarreal CF                           ,32M     ,53K  ,Left ,7 ,5'11,170lbs
175  ,207863,Felipe                        ,29,Brazil                        ,83,83,FC Porto                                ,20M     ,22K  ,Right,28,6'3 ,190lbs
176  ,207410,M. Kovai                      ,24,Croatia                       ,83,89,Chelsea                                 ,35M     ,165K ,Right,17,5'9 ,172lbs
177  ,206585,Kepa                          ,23,Spain                         ,83,91,Chelsea                                 ,28.5M   ,84K  ,Right,13,6'1 ,187lbs
178  ,206545,Manu Trigueros                ,26,Spain                         ,83,84,Villarreal CF                           ,30M     ,49K  ,Right,14,5'10,165lbs
179  ,206113,S. Gnabry                     ,22,Germany                       ,83,88,FC Bayern Mnchen                        ,34.5M   ,85K  ,Right,6 ,5'9 ,165lbs
180  ,204935,J. Pickford                   ,24,England                       ,83,88,Everton                                 ,25M     ,78K  ,Left ,1 ,6'1 ,170lbs
181  ,204639,S. Savi                       ,27,Montenegro                    ,83,86,Atltico Madrid                          ,26M     ,67K  ,Right,15,6'2 ,174lbs
182  ,203574,J. Stones                     ,24,England                       ,83,87,Manchester City                         ,28.5M   ,125K ,Right,5 ,6'2 ,154lbs
183  ,202651,Suso                          ,24,Spain                         ,83,86,Milan                                   ,33M     ,115K ,Left ,11,5'9 ,154lbs
184  ,202166,J. Draxler                    ,24,Germany                       ,83,86,Paris Saint-Germain                     ,32.5M   ,91K  ,Right,7 ,6'2 ,170lbs
185  ,201995,Felipe Anderson               ,25,Brazil                        ,83,85,West Ham United                         ,31.5M   ,110K ,Right,8 ,5'9 ,154lbs
186  ,200949,Lucas Moura                   ,25,Brazil                        ,83,84,Tottenham Hotspur                       ,31M     ,115K ,Right,27,5'9 ,154lbs
187  ,200888,Danilo Pereira                ,26,Portugal                      ,83,86,FC Porto                                ,27M     ,21K  ,Right,22,6'2 ,183lbs
188  ,200724,Nacho Fernndez                ,28,Spain                         ,83,85,Real Madrid                             ,24.5M   ,180K ,Right,12,5'11,168lbs
189  ,200316,T. Horn                       ,25,Germany                       ,83,87,1. FC Kln                               ,24M     ,25K  ,Left ,1 ,6'4 ,198lbs
190  ,199914,Allan                         ,27,Brazil                        ,83,83,Napoli                                  ,26.5M   ,87K  ,Right,5 ,5'9 ,163lbs
191  ,199845,F. Acerbi                     ,30,Italy                         ,83,83,Lazio                                   ,19M     ,64K  ,Left ,13,6'4 ,194lbs
192  ,199564,Sergi Roberto                 ,26,Spain                         ,83,86,FC Barcelona                            ,26.5M   ,170K ,Right,20,5'10,150lbs
193  ,198329,Rodrigo                       ,27,Spain                         ,83,84,Valencia CF                             ,30.5M   ,57K  ,Left ,9 ,6'0 ,170lbs
194  ,197965,Pizzi                         ,28,Portugal                      ,83,83,SL Benfica                              ,25.5M   ,22K  ,Right,21,5'10,159lbs
195  ,195365,K. Kampl                      ,27,Slovenia                      ,83,83,RB Leipzig                              ,26.5M   ,74K  ,Right,44,5'10,148lbs
196  ,194404,Neto                          ,28,Brazil                        ,83,84,Valencia CF                             ,21M     ,41K  ,Right,13,6'3 ,185lbs
197  ,193698,O. Baumann                    ,28,Germany                       ,83,84,TSG 1899 Hoffenheim                     ,21M     ,42K  ,Right,1 ,6'2 ,181lbs
198  ,193474,I. Gueye                      ,28,Senegal                       ,83,83,Everton                                 ,21M     ,125K ,Right,17,5'9 ,146lbs
199  ,192883,H. Mkhitaryan                 ,29,Armenia                       ,83,83,Arsenal                                 ,25.5M   ,145K ,Right,7 ,5'10,165lbs
200  ,192638,Marcos Alonso                 ,27,Spain                         ,83,84,Chelsea                                 ,24M     ,130K ,Left ,3 ,6'2 ,192lbs
201  ,192593,D. Subai                      ,33,Croatia                       ,83,83,AS Monaco                               ,13M     ,70K  ,Right,1 ,6'3 ,185lbs
202  ,190547,K. Glik                       ,30,Poland                        ,83,83,AS Monaco                               ,19M     ,86K  ,Right,15,6'3 ,176lbs
203  ,189712,K. Strootman                  ,28,Netherlands                   ,83,83,Olympique de Marseille                  ,21M     ,66K  ,Left ,16,6'1 ,176lbs
